Date,Open,High,Low,Close,Adj Close,Volume
2016-10-06,134.880005,136.240005,134.100006,135.899994,135.899994,19696496
2016-10-07,135.889999,136.750000,135.199997,136.100006,136.100006,20473480
2016-10-10,136.169998,139.500000,135.750000,139.100006,139.100006,34397190
2016-10-11,139.139999,139.800003,138.179993,138.979996,138.979996,32335883
2016-10-12,138.520004,140.229996,137.550003,138.070007,138.070007,31976171
2016-10-13,137.699997,137.880005,136.570007,137.470001,137.470001,15129920
2016-10-14,137.550003,137.860001,135.830002,136.199997,136.199997,12933780
2016-10-17,136.100006,136.429993,135.300003,135.570007,135.570007,14806360
2016-10-18,136.000000,136.460007,135.410004,135.809998,135.809998,19038940
2016-10-19,136.110001,136.160004,134.699997,135.490005,135.490005,11824311
2016-10-20,135.789993,135.789993,134.699997,134.720001,134.720001,12396990
2016-10-21,135.100006,135.350006,133.949997,134.960007,134.960007,15521490
2016-10-24,135.240005,136.139999,134.750000,135.050003,135.050003,15312420
2016-10-25,135.250000,135.970001,134.880005,135.300003,135.300003,15474861
2016-10-26,135.110001,135.699997,134.550003,135.320007,135.320007,11935260
2016-10-27,135.320007,135.639999,134.619995,135.039993,135.039993,12333750
2016-10-28,135.000000,135.039993,134.399994,135.000000,135.000000,9973340
2016-10-31,136.300003,139.440002,136.160004,138.839996,138.839996,42989205
2016-11-01,139.119995,142.440002,139.009995,141.979996,141.979996,49424750
2016-11-02,141.490005,143.639999,140.029999,140.809998,140.809998,43150830
2016-11-03,140.500000,141.300003,139.300003,139.899994,139.899994,24879410
2016-11-07,140.500000,140.960007,138.500000,138.500000,138.500000,23567564
2016-11-08,138.860001,140.979996,138.809998,139.320007,139.320007,20844700
2016-11-09,138.000000,145.619995,137.550003,145.619995,145.619995,79385300
2016-11-10,146.449997,151.300003,145.750000,147.399994,147.399994,103218470
2016-11-11,147.399994,149.500000,145.789993,147.880005,147.880005,45422659
2016-11-14,148.600006,149.669998,145.960007,146.259995,146.259995,31655630
2016-11-15,146.500000,148.000000,145.600006,145.899994,145.899994,23781520
2016-11-16,147.070007,148.800003,145.139999,145.500000,145.500000,40902380
2016-11-17,145.820007,147.779999,145.320007,147.699997,147.699997,28348942
2016-11-18,147.509995,148.289993,146.740005,146.960007,146.960007,14649260
2016-11-21,147.600006,149.850006,147.600006,149.600006,149.600006,26159041
2016-11-22,150.199997,150.830002,149.059998,150.000000,150.000000,26583950
2016-11-23,150.240005,150.380005,148.559998,149.490005,149.490005,19329900
